number,state,value,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,avg_spearman_ic,std_spearman_ic,spearman_icir,negative_spearman_folds,robust_score
69,TrialState.COMPLETE,0.10417708291371736,409,4,0.006643554435773198,0.9035420464505801,0.6257969620146889,21,0.944592680743829,0.10296020159547498,6.167322870657912,0.1540781995737315,0.1596044666400566,0.9653752355265343,3.0,0.10417708291371736
70,TrialState.COMPLETE,0.10717415279977696,202,4,0.007050607904522533,0.6075345794525638,0.5881593249578427,17,1.3344370589096046,0.21582837279860884,24.248551229522043,0.15605667658635897,0.15553009514632804,1.0033857205548258,3.0,0.10717415279977696
71,TrialState.PRUNED,0.10002926623107702,312,4,0.01653836388609414,0.7373194790589792,0.5098418824333012,13,1.3987601095021394,0.048070910605051524,22.860351814957564,,,,,
72,TrialState.COMPLETE,0.10787521001579295,205,4,0.00937842216370058,0.72284566225381,0.50180821563327,28,1.2130248435741706,0.349786335190357,55.19914665278206,0.15799466843569576,0.16047783367961121,0.9845264284357613,3.0,0.10787521001579295
73,TrialState.COMPLETE,0.10782787634365754,199,4,0.007651347473975278,0.7473512135579352,0.6413284261550225,17,0.953265193867231,5.971195310631927,14.843486388160626,0.15765082239893544,0.15929178422111157,0.9896983900946309,3.0,0.10782787634365754
74,TrialState.COMPLETE,0.11192354579178307,186,4,0.009529183440450383,0.8003276416233681,0.5017238878569675,9,0.008029184290211488,0.5281664798259619,31.371841817516838,0.1609942550817047,0.1562828371596865,1.0301467391278811,3.0,0.11192354579178307
75,TrialState.PRUNED,-0.038167648847426676,226,4,0.010400995840543346,0.7835415772427048,0.5129765145069547,10,0.023071885882983374,0.7579944280360728,14.666615673500857,,,,,
76,TrialState.COMPLETE,0.10863440361545734,183,4,0.017428640671556177,0.7326430626249767,0.5989561162688137,10,1.4197385324377947,0.026476441882931436,42.39372617481707,0.15761478579511382,0.15592152871862586,1.010859674673557,3.0,0.10863440361545734
77,TrialState.PRUNED,-0.042795913989700424,211,4,0.007981909233100867,0.7309300124245199,0.5096080191662661,8,0.23061413733253172,0.1305908040752924,56.0489034239076,,,,,
78,TrialState.COMPLETE,0.10689524103676099,207,4,0.016639920728748606,0.856663380136363,0.5030495560848758,20,0.31175024805904367,0.21483726129382258,26.169353713275175,0.15522391907516755,0.15331471215362627,1.0124528617946866,3.0,0.10689524103676099
